Module,Group,Quota,No_of_Bidders,Lowest_Bid,Lowest_Succ_Bid,Highest_Bid,Faculty,Student_Type,Bid_Round,Acad_Yr,Semester
ACC1002X,LECTURE B2,1,2,1,746,746,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1C,20102011,1
ACC1002X,LECTURE B2,2,3,350,750,1000,SCHOOL OF BUSINESS,NUS Students [G],1C,20102011,1
ACC1002X,LECTURE B1,34,58,1,1369,4001,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2A,20102011,1
ACC1002X,LECTURE B2,31,54,1,1370,3167,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2A,20102011,1
ACC1002X,LECTURE B2,15,8,1,1,747,ENGINEERING,New Students [P],2A,20102011,1
ACC1002X,LECTURE B2,3,1,1,1,1,SCHOOL OF BUSINESS,New Students [P],2A,20102011,1
ACC1002X,LECTURE B1,5,22,10,1410,2923,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2B,20102011,1
ACC1002X,LECTURE B1,1,2,579,747,747,ENGINEERING,New Students [P],2B,20102011,1
ACC1002X,LECTURE B2,11,27,95,1291,2001,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2B,20102011,1
ACC1002X,LECTURE B2,11,6,197,1,747,ENGINEERING,New Students [P],2B,20102011,1
ACC1002X,LECTURE B2,3,3,1,1,297,SCHOOL OF BUSINESS,New Students [P],2B,20102011,1
ACC1002X,LECTURE B1,3,18,1,1941,2000,SCHOOL OF BUSINESS,NUS Students [PG],3A,20102011,1
ACC1002X,LECTURE B2,6,26,49,2001,5667,SCHOOL OF BUSINESS,NUS Students [PG],3A,20102011,1
ACC1002X,LECTURE B1,3,16,120,1857,2393,SCHOOL OF BUSINESS,NUS Students [PG],3B,20102011,1
ACC1002X,LECTURE B2,9,22,425,1290,4000,SCHOOL OF BUSINESS,NUS Students [PG],3B,20102011,1
ACC1002X,LECTURE B1,13,0,0,0,0,SCIENCE,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B1,152,65,1,1,4000,ENGINEERING,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B1,9,4,1,1,600,SCHOOL OF COMPUTING,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B1,18,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B1,4,6,500,710,1101,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B1,12,0,0,0,0,SCIENCE,New Students [P],1A,20102011,2
ACC1002X,LECTURE B1,38,69,5,788,1568,ENGINEERING,New Students [P],1A,20102011,2
ACC1002X,LECTURE B1,15,19,3,200,817,SCHOOL OF COMPUTING,New Students [P],1A,20102011,2
ACC1002X,LECTURE B1,6,6,25,1,350,SCHOOL OF BUSINESS,New Students [P],1A,20102011,2
ACC1002X,LECTURE B1,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1A,20102011,2
ACC1002X,LECTURE B2,12,0,0,0,0,SCIENCE,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B2,152,83,1,1,6405,ENGINEERING,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B2,11,3,1,1,99,SCHOOL OF COMPUTING,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B2,26,5,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B2,4,5,400,600,1500,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1A,20102011,2
ACC1002X,LECTURE B2,13,0,0,0,0,SCIENCE,New Students [P],1A,20102011,2
ACC1002X,LECTURE B2,38,55,102,700,1566,ENGINEERING,New Students [P],1A,20102011,2
ACC1002X,LECTURE B2,9,11,75,100,850,SCHOOL OF COMPUTING,New Students [P],1A,20102011,2
ACC1002X,LECTURE B2,8,8,2,1,500,SCHOOL OF BUSINESS,New Students [P],1A,20102011,2
ACC1002X,LECTURE B2,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1A,20102011,2
ACC1002X,LECTURE B1,13,0,0,0,0,SCIENCE,Returning Students [P],1B,20102011,2
ACC1002X,LECTURE B1,87,14,1,1,5985,ENGINEERING,Returning Students [P],1B,20102011,2
ACC1002X,LECTURE B1,5,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P],1B,20102011,2
ACC1002X,LECTURE B1,18,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1B,20102011,2
ACC1002X,LECTURE B1,12,0,0,0,0,SCIENCE,New Students [P],1B,20102011,2
ACC1002X,LECTURE B1,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1B,20102011,2
ACC1002X,LECTURE B2,12,0,0,0,0,SCIENCE,Returning Students [P],1B,20102011,2
ACC1002X,LECTURE B2,69,13,1,1,5748,ENGINEERING,Returning Students [P],1B,20102011,2
ACC1002X,LECTURE B2,8,1,671,1,671,SCHOOL OF COMPUTING,Returning Students [P],1B,20102011,2
ACC1002X,LECTURE B2,21,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1B,20102011,2
ACC1002X,LECTURE B2,13,0,0,0,0,SCIENCE,New Students [P],1B,20102011,2
ACC1002X,LECTURE B2,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1B,20102011,2
ACC1002X,LECTURE B1,25,0,0,0,0,SCIENCE,Returning Students and New Students [P],2A,20102011,2
ACC1002X,LECTURE B1,75,70,1,1,6400,ENGINEERING,Returning Students and New Students [P],2A,20102011,2
ACC1002X,LECTURE B1,5,4,1,1,100,SCHOOL OF COMPUTING,Returning Students and New Students [P],2A,20102011,2
ACC1002X,LECTURE B1,18,2,1,1,400,SCHOOL OF BUSINESS,Returning Students and New Students [P],2A,20102011,2
ACC1002X,LECTURE B1,1,2,257,400,400,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and New Students [P],2A,20102011,2
ACC1002X,LECTURE B1,3,8,250,688,1006,SCHOOL OF BUSINESS,NUS Students [G],2A,20102011,2
ACC1002X,LECTURE B2,25,0,0,0,0,SCIENCE,Returning Students and New Students [P],2A,20102011,2
ACC1002X,LECTURE B2,57,51,1,1,6000,ENGINEERING,Returning Students and New Students [P],2A,20102011,2
ACC1002X,LECTURE B2,7,1,12,1,12,SCHOOL OF COMPUTING,Returning Students and New Students [P],2A,20102011,2
ACC1002X,LECTURE B2,21,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P],2A,20102011,2
ACC1002X,LECTURE B2,1,2,40,253,253,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and New Students [P],2A,20102011,2
ACC1002X,LECTURE B2,3,8,386,850,999,SCHOOL OF BUSINESS,NUS Students [G],2A,20102011,2
ACC1002X,LECTURE B1,25,52,1,1308,4337,SCIENCE,Returning Students and New Students [P],2B,20102011,2
ACC1002X,LECTURE B1,8,14,1,1000,4818,ENGINEERING,Returning Students and New Students [P],2B,20102011,2
ACC1002X,LECTURE B1,1,2,300,3231,3231,SCHOOL OF COMPUTING,Returning Students and New Students [P],2B,20102011,2
ACC1002X,LECTURE B1,16,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P],2B,20102011,2
ACC1002X,LECTURE B2,25,57,1,1826,3508,SCIENCE,Returning Students and New Students [P],2B,20102011,2
ACC1002X,LECTURE B2,16,11,1,1,1000,ENGINEERING,Returning Students and New Students [P],2B,20102011,2
ACC1002X,LECTURE B2,6,8,1,35,2337,SCHOOL OF COMPUTING,Returning Students and New Students [P],2B,20102011,2
ACC1002X,LECTURE B2,23,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P],2B,20102011,2
ACC1002X,LECTURE B2,1,2,100,451,451,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and New Students [P],2B,20102011,2
ACC1002X,LECTURE B1,20,51,1,1594,6489,SCHOOL OF BUSINESS,NUS Students [PG],2C,20102011,2
ACC1002X,LECTURE B2,31,69,10,1490,4224,SCHOOL OF BUSINESS,NUS Students [PG],2C,20102011,2
ACC1002X,LECTURE B1,1,18,1,2000,2000,SCHOOL OF BUSINESS,NUS Students [PG],3A,20102011,2
ACC1002X,LECTURE B2,4,25,1,3206,6000,SCHOOL OF BUSINESS,NUS Students [PG],3A,20102011,2
ACC1002X,LECTURE B1,4,26,1,1799,4023,SCHOOL OF BUSINESS,NUS Students [PG],3B,20102011,2
ACC1002X,LECTURE B2,6,27,1,1808,3018,SCHOOL OF BUSINESS,NUS Students [PG],3B,20102011,2
ACC1002X,LECTURE B1,130,63,1,1,3435,ENGINEERING,Returning Students [P],1A,20112012,1
ACC1002X,LECTURE B1,45,18,1,1,1000,SCHOOL OF COMPUTING,Returning Students [P],1A,20112012,1
ACC1002X,LECTURE B1,5,3,1,1,200,SCHOOL OF BUSINESS,Returning Students [P],1A,20112012,1
ACC1002X,LECTURE B1,3,9,1,1010,3000,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1A,20112012,1
ACC1002X,LECTURE B2,50,29,1,1,861,SCIENCE,Returning Students [P],1A,20112012,1
ACC1002X,LECTURE B2,15,0,0,0,0,LAW,Returning Students [P],1A,20112012,1
ACC1002X,LECTURE B2,130,47,1,1,3500,ENGINEERING,Returning Students [P],1A,20112012,1
ACC1002X,LECTURE B2,25,5,1,1,200,SCHOOL OF BUSINESS,Returning Students [P],1A,20112012,1
ACC1002X,LECTURE B2,3,6,200,2101,3001,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1A,20112012,1
ACC1002X,LECTURE B1,67,6,1,1,3000,ENGINEERING,Returning Students [P],1B,20112012,1
ACC1002X,LECTURE B1,27,1,5,1,5,SCHOOL OF COMPUTING,Returning Students [P],1B,20112012,1
ACC1002X,LECTURE B1,2,2,2,1,50,SCHOOL OF BUSINESS,Returning Students [P],1B,20112012,1
ACC1002X,LECTURE B2,21,0,0,0,0,SCIENCE,Returning Students [P],1B,20112012,1
ACC1002X,LECTURE B2,15,0,0,0,0,LAW,Returning Students [P],1B,20112012,1
ACC1002X,LECTURE B2,83,11,1,1,2002,ENGINEERING,Returning Students [P],1B,20112012,1
ACC1002X,LECTURE B2,20,1,50,1,50,SCHOOL OF BUSINESS,Returning Students [P],1B,20112012,1
ACC1002X,LECTURE B1,61,2,1,1,50,ENGINEERING,Returning Students [P],1C,20112012,1
ACC1002X,LECTURE B1,27,18,1,1,2264,SCHOOL OF COMPUTING,Returning Students [P],1C,20112012,1
ACC1002X,LECTURE B1,45,42,1,1,747,ENGINEERING,New Students [P],1C,20112012,1
ACC1002X,LECTURE B1,30,56,51,327,635,SCHOOL OF COMPUTING,New Students [P],1C,20112012,1
ACC1002X,LECTURE B1,2,5,2,746,746,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1C,20112012,1
ACC1002X,LECTURE B1,5,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round,1C,20112012,1
ACC1002X,LECTURE B2,21,33,50,1345,3909,SCIENCE,Returning Students [P],1C,20112012,1
ACC1002X,LECTURE B2,15,0,0,0,0,LAW,Returning Students [P],1C,20112012,1
ACC1002X,LECTURE B2,73,5,1,1,2500,ENGINEERING,Returning Students [P],1C,20112012,1
ACC1002X,LECTURE B2,19,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1C,20112012,1
ACC1002X,LECTURE B2,20,24,2,83,596,SCIENCE,New Students [P],1C,20112012,1
ACC1002X,LECTURE B2,45,50,15,44,747,ENGINEERING,New Students [P],1C,20112012,1
ACC1002X,LECTURE B2,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1C,20112012,1
ACC1002X,LECTURE B2,5,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round,1C,20112012,1
ACC1002X,LECTURE B1,75,117,5,1200,3981,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2A,20112012,1
ACC1002X,LECTURE B1,3,9,281,747,747,ENGINEERING,New Students [P],2A,20112012,1
ACC1002X,LECTURE B2,108,140,1,599,2546,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2A,20112012,1
ACC1002X,LECTURE B2,2,2,1,1,746,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],2A,20112012,1
ACC1002X,LECTURE B1,7,26,1,1591,4888,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2B,20112012,1
ACC1002X,LECTURE B1,1,1,250,1,250,ENGINEERING,New Students [P],2B,20112012,1
ACC1002X,LECTURE B2,4,14,1,1550,2000,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2B,20112012,1
ACC1002X,LECTURE B2,2,3,348,360,537,SCIENCE,New Students [P],2B,20112012,1
ACC1002X,LECTURE B1,2,12,36,1972,3500,SCHOOL OF BUSINESS,NUS Students [PG],3A,20112012,1
ACC1002X,LECTURE B2,4,22,20,2036,2100,SCHOOL OF BUSINESS,NUS Students [PG],3A,20112012,1
ACC1002X,LECTURE B2,4,21,149,1972,3920,SCHOOL OF BUSINESS,NUS Students [PG],3B,20112012,1
ACC1002X,LECTURE X1,10,1,250,1,250,SCIENCE,Returning Students [P],1A,20112012,2
ACC1002X,LECTURE X1,15,0,0,0,0,LAW,Returning Students [P],1A,20112012,2
ACC1002X,LECTURE X1,160,51,1,1,3101,ENGINEERING,Returning Students [P],1A,20112012,2
ACC1002X,LECTURE X1,25,2,159,1,1002,SCHOOL OF COMPUTING,Returning Students [P],1A,20112012,2
ACC1002X,LECTURE X1,3,8,107,2001,2500,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1A,20112012,2
ACC1002X,LECTURE X1,10,0,0,0,0,SCIENCE,New Students [P],1A,20112012,2
ACC1002X,LECTURE X1,40,41,1,1,1513,ENGINEERING,New Students [P],1A,20112012,2
ACC1002X,LECTURE X1,35,48,99,300,1294,SCHOOL OF COMPUTING,New Students [P],1A,20112012,2
ACC1002X,LECTURE X1,2,2,100,1,1567,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1A,20112012,2
ACC1002X,LECTURE X2,15,0,0,0,0,SCIENCE,Returning Students [P],1A,20112012,2
ACC1002X,LECTURE X2,160,57,1,1,5000,ENGINEERING,Returning Students [P],1A,20112012,2
ACC1002X,LECTURE X2,25,7,1,1,300,SCHOOL OF COMPUTING,Returning Students [P],1A,20112012,2
ACC1002X,LECTURE X2,3,2,1,1,1,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1A,20112012,2
ACC1002X,LECTURE X2,15,0,0,0,0,SCIENCE,New Students [P],1A,20112012,2
ACC1002X,LECTURE X2,40,51,10,200,1570,ENGINEERING,New Students [P],1A,20112012,2
ACC1002X,LECTURE X2,35,36,10,21,1000,SCHOOL OF COMPUTING,New Students [P],1A,20112012,2
ACC1002X,LECTURE X2,2,4,310,567,650,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1A,20112012,2
ACC1002X,LECTURE X1,9,0,0,0,0,SCIENCE,Returning Students [P],1B,20112012,2
ACC1002X,LECTURE X1,15,0,0,0,0,LAW,Returning Students [P],1B,20112012,2
ACC1002X,LECTURE X1,109,10,1,1,2000,ENGINEERING,Returning Students [P],1B,20112012,2
ACC1002X,LECTURE X1,23,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P],1B,20112012,2
ACC1002X,LECTURE X1,6,2,3,1,10,SCHOOL OF BUSINESS,Returning Students [P],1B,20112012,2
ACC1002X,LECTURE X1,10,0,0,0,0,SCIENCE,New Students [P],1B,20112012,2
ACC1002X,LECTURE X2,15,0,0,0,0,SCIENCE,Returning Students [P],1B,20112012,2
ACC1002X,LECTURE X2,103,10,1,1,1000,ENGINEERING,Returning Students [P],1B,20112012,2
ACC1002X,LECTURE X2,18,1,511,1,511,SCHOOL OF COMPUTING,Returning Students [P],1B,20112012,2
ACC1002X,LECTURE X2,10,3,100,1,1000,SCHOOL OF BUSINESS,Returning Students [P],1B,20112012,2
ACC1002X,LECTURE X2,1,2,11,103,103,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1B,20112012,2
ACC1002X,LECTURE X2,15,0,0,0,0,SCIENCE,New Students [P],1B,20112012,2
ACC1002X,LECTURE X1,19,0,0,0,0,SCIENCE,Returning Students and New Students [P],2A,20112012,2
ACC1002X,LECTURE X1,15,0,0,0,0,LAW,Returning Students and New Students [P],2A,20112012,2
ACC1002X,LECTURE X1,102,30,1,1,1000,ENGINEERING,Returning Students and New Students [P],2A,20112012,2
ACC1002X,LECTURE X1,23,16,1,1,959,SCHOOL OF COMPUTING,Returning Students and New Students [P],2A,20112012,2
ACC1002X,LECTURE X1,4,6,93,700,1252,SCHOOL OF BUSINESS,Returning Students and New Students [P],2A,20112012,2
ACC1002X,LECTURE X1,5,7,250,561,943,SCHOOL OF BUSINESS,NUS Students [G],2A,20112012,2
ACC1002X,LECTURE X2,30,0,0,0,0,SCIENCE,Returning Students and New Students [P],2A,20112012,2
ACC1002X,LECTURE X2,93,37,1,1,5023,ENGINEERING,Returning Students and New Students [P],2A,20112012,2
ACC1002X,LECTURE X2,17,6,1,1,600,SCHOOL OF COMPUTING,Returning Students and New Students [P],2A,20112012,2
ACC1002X,LECTURE X2,7,6,100,1,999,SCHOOL OF BUSINESS,Returning Students and New Students [P],2A,20112012,2
ACC1002X,LECTURE X2,10,6,88,1,1001,SCHOOL OF BUSINESS,NUS Students [G],2A,20112012,2
ACC1002X,LECTURE X1,19,35,500,1655,3800,SCIENCE,Returning Students and New Students [P],2B,20112012,2
ACC1002X,LECTURE X1,15,0,0,0,0,LAW,Returning Students and New Students [P],2B,20112012,2
ACC1002X,LECTURE X1,76,15,1,1,1568,ENGINEERING,Returning Students and New Students [P],2B,20112012,2
ACC1002X,LECTURE X1,7,11,1,500,1512,SCHOOL OF COMPUTING,Returning Students and New Students [P],2B,20112012,2
ACC1002X,LECTURE X2,30,46,100,1000,2599,SCIENCE,Returning Students and New Students [P],2B,20112012,2
ACC1002X,LECTURE X2,61,31,1,1,2000,ENGINEERING,Returning Students and New Students [P],2B,20112012,2
ACC1002X,LECTURE X2,12,6,11,1,850,SCHOOL OF COMPUTING,Returning Students and New Students [P],2B,20112012,2
ACC1002X,LECTURE X2,1,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P],2B,20112012,2
ACC1002X,LECTURE X2,4,25,10,2213,2509,SCHOOL OF BUSINESS,NUS Students [G],2B,20112012,2
ACC1002X,LECTURE X1,76,127,100,1001,5050,SCHOOL OF BUSINESS,NUS Students [PG],3A,20112012,2
ACC1002X,LECTURE X2,41,74,1,865,4644,SCHOOL OF BUSINESS,NUS Students [PG],3A,20112012,2
ACC1002X,LECTURE X1,6,22,299,1569,4000,SCHOOL OF BUSINESS,NUS Students [PG],3B,20112012,2
ACC1002X,LECTURE X2,6,19,1,1000,3207,SCHOOL OF BUSINESS,NUS Students [PG],3B,20112012,2
ACC1002X,LECTURE X1,30,13,1,1,100,SCIENCE,Returning Students [P],1A,20122013,1
ACC1002X,LECTURE X1,15,0,0,0,0,LAW,Returning Students [P],1A,20122013,1
ACC1002X,LECTURE X1,150,67,1,1,2000,ENGINEERING,Returning Students [P],1A,20122013,1
ACC1002X,LECTURE X1,20,13,1,1,800,SCHOOL OF COMPUTING,Returning Students [P],1A,20122013,1
ACC1002X,LECTURE X2,20,11,1,1,400,SCIENCE,Returning Students [P],1A,20122013,1
ACC1002X,LECTURE X2,110,55,1,1,3947,ENGINEERING,Returning Students [P],1A,20122013,1
ACC1002X,LECTURE X2,20,5,1,1,500,SCHOOL OF COMPUTING,Returning Students [P],1A,20122013,1
ACC1002X,LECTURE X2,6,1,1,1,1,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1A,20122013,1
ACC1002X,LECTURE X1,17,0,0,0,0,SCIENCE,Returning Students [P],1B,20122013,1
ACC1002X,LECTURE X1,15,0,0,0,0,LAW,Returning Students [P],1B,20122013,1
ACC1002X,LECTURE X1,83,7,1,1,60,ENGINEERING,Returning Students [P],1B,20122013,1
ACC1002X,LECTURE X1,7,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P],1B,20122013,1
ACC1002X,LECTURE X1,10,3,1,1,899,SCHOOL OF BUSINESS,Returning Students [P],1B,20122013,1
ACC1002X,LECTURE X2,9,0,0,0,0,SCIENCE,Returning Students [P],1B,20122013,1
ACC1002X,LECTURE X2,55,5,100,1,313,ENGINEERING,Returning Students [P],1B,20122013,1
ACC1002X,LECTURE X2,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P],1B,20122013,1
ACC1002X,LECTURE X2,10,1,10,1,10,SCHOOL OF BUSINESS,Returning Students [P],1B,20122013,1
ACC1002X,LECTURE X2,5,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1B,20122013,1
ACC1002X,LECTURE X1,17,34,1,2000,4529,SCIENCE,Returning Students [P],1C,20122013,1
ACC1002X,LECTURE X1,15,0,0,0,0,LAW,Returning Students [P],1C,20122013,1
ACC1002X,LECTURE X1,77,10,1,1,100,ENGINEERING,Returning Students [P],1C,20122013,1
ACC1002X,LECTURE X1,7,7,50,1,3000,SCHOOL OF COMPUTING,Returning Students [P],1C,20122013,1
ACC1002X,LECTURE X1,7,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1C,20122013,1
ACC1002X,LECTURE X1,50,65,1,97,747,ENGINEERING,New Students [P],1C,20122013,1
ACC1002X,LECTURE X1,12,24,51,450,645,SCHOOL OF COMPUTING,New Students [P],1C,20122013,1
ACC1002X,LECTURE X1,15,1,17,1,17,SCHOOL OF BUSINESS,NUS Students [G],1C,20122013,1
ACC1002X,LECTURE X2,9,27,1,2000,4000,SCIENCE,Returning Students [P],1C,20122013,1
ACC1002X,LECTURE X2,50,11,1,1,2000,ENGINEERING,Returning Students [P],1C,20122013,1
ACC1002X,LECTURE X2,15,7,1,1,3311,SCHOOL OF COMPUTING,Returning Students [P],1C,20122013,1
ACC1002X,LECTURE X2,9,2,1,1,100,SCHOOL OF BUSINESS,Returning Students [P],1C,20122013,1
ACC1002X,LECTURE X2,5,1,900,1,900,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P],1C,20122013,1
ACC1002X,LECTURE X2,20,33,131,206,597,SCIENCE,New Students [P],1C,20122013,1
ACC1002X,LECTURE X2,40,51,50,247,748,ENGINEERING,New Students [P],1C,20122013,1
ACC1002X,LECTURE X2,30,44,20,303,822,SCHOOL OF COMPUTING,New Students [P],1C,20122013,1
ACC1002X,LECTURE X2,4,6,10,100,746,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P],1C,20122013,1
ACC1002X,LECTURE X2,15,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G],1C,20122013,1
ACC1002X,LECTURE X1,104,149,2,850,4232,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2A,20122013,1
ACC1002X,LECTURE X2,74,115,1,900,3476,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2A,20122013,1
ACC1002X,LECTURE X1,5,18,1,1500,4150,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2B,20122013,1
ACC1002X,LECTURE X2,8,20,1,897,1949,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2B,20122013,1
ACC1002X,LECTURE X1,1,17,2,3696,3696,SCHOOL OF BUSINESS,NUS Students [PG],3A,20122013,1
ACC1002X,LECTURE X1,1,13,1,5000,5000,SCHOOL OF BUSINESS,NUS Students [PG],3B,20122013,1
ACC1002X,LECTURE X2,1,10,1,4022,4022,SCHOOL OF BUSINESS,NUS Students [PG],3B,20122013,1
